path,status,current_size_bytes,archive_size_bytes,current_sha256,archive_sha256
AGENTS.md,same,601,601,4a1a767c811a236705b925a4689a6ae31442e5dcf8c339dced7ed59099d7983b,4a1a767c811a236705b925a4689a6ae31442e5dcf8c339dced7ed59099d7983b
README.md,same,3102,3102,05fc06dd8f6402576a894c84592f1bcdcb5ec7d5fb9f7bd58da16202dd7c2f56,05fc06dd8f6402576a894c84592f1bcdcb5ec7d5fb9f7bd58da16202dd7c2f56
codex_swarmalator_stage1_prompt.md,same,16316,16316,7188d2addcee58caf910613024f585e8f433b2cae935b606c22659dd5922d86c,7188d2addcee58caf910613024f585e8f433b2cae935b606c22659dd5922d86c
configs/stage1_config.json,same,495,495,1e12dbf95deecd3889362ce5f5eef0ffc9a4bf331a4c94b33d18a38a1e4605ec,1e12dbf95deecd3889362ce5f5eef0ffc9a4bf331a4c94b33d18a38a1e4605ec
docs/model_v0.md,same,4517,4517,6b79548a21733a419e728193b6e452cdd9a9206b22f33596cb131a77938c298c,6b79548a21733a419e728193b6e452cdd9a9206b22f33596cb131a77938c298c
feedback/stage1_feedback.zip,current_only,675813,,6dd218320a82ad1ccf3a0e263260af354912b3c0e583b2ac95f0bcc034810cc5,
feedback/stage1_feedback_manifest.txt,current_only,518,,6edbe6427df824aefb023e675cda0850346cbef6473c25deae0e6e34bd57635f,
outputs/stage1/events.csv,same,8199,8199,fd8c0b86433d506e1732b878a3fd6d82ee3990975f639630f7eede1bf0153188,fd8c0b86433d506e1732b878a3fd6d82ee3990975f639630f7eede1bf0153188
outputs/stage1/figures/stage1_method_outcomes.png,same,55491,55491,3d7de53f84957e1d023da783c396cdf13ed8388691823c3061c4108a4dc72743,3d7de53f84957e1d023da783c396cdf13ed8388691823c3061c4108a4dc72743
outputs/stage1/figures/stage1_nonreciprocal_tradeoff.png,same,63769,63769,c7f5979a0bd215bec33f4a69949d67301700dc581acb324d95a19581bdc82a7a,c7f5979a0bd215bec33f4a69949d67301700dc581acb324d95a19581bdc82a7a
outputs/stage1/figures/stage1_representative_trajectory.png,same,245452,245452,74c4686e89f84f794d6a846581c8e73426a4f9f840515367d53568316fea6dd1,74c4686e89f84f794d6a846581c8e73426a4f9f840515367d53568316fea6dd1
